DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
0006E5B2,Luminaria,5C-CF-7F-06-E5-B2,L470,-29.66652127,-51.09345675,Grupo 1,0,HDA-01
000AF6A8,Luminaria,5C-CF-7F-0A-F6-A8,L475,-29.67874187,-51.14628354,Grupo 1,0,HDA-01
000AF6A1,Luminaria,5C-CF-7F-0A-F6-A1,L480,-29.67193102,-51.12812781,Grupo 1,0,HDA-01
000AF591,Luminaria,5C-CF-7F-0A-F5-91,L485,-29.69370347,-51.1217074,Grupo 1,0,HDA-01
000AF57B,Luminaria,5C-CF-7F-0A-F5-7B,L495,-29.69513856,-51.08786949,Grupo 1,0,HDA-01
0006E6C9,Luminaria,5C-CF-7F-06-E6-C9,L490,-29.67927604,-51.11274001,Grupo 1,0,HDA-01
000AF5D4,Luminaria,5C-CF-7F-0A-F5-D4,L500,-29.66780069,-51.12991769,Grupo 1,0,HDA-01
000AF5E7,Luminaria,5C-CF-7F-0A-F5-E7,L505,-29.68737294,-51.12252919,Grupo 1,0,HDA-01
0006E60E,Luminaria,5C-CF-7F-06-E6-0E,L510,-29.69132837,-51.10815686,Grupo 1,0,HDA-01
0006E610,Luminaria,5C-CF-7F-06-E6-10,L515,-29.69411442,-51.07659073,Grupo 1,0,HDA-01
0006E670,Luminaria,5C-CF-7F-06-E6-70,L520,-29.68438857,-51.15711905,Grupo 1,0,HDA-01
0006E6F7,Luminaria,5C-CF-7F-06-E6-F7,L525,-29.68786167,-51.09272534,Grupo 1,0,HDA-01
000AF479,Luminaria,5C-CF-7F-0A-F4-79,L344,-29.66640663,-51.10827021,Grupo 1,0,HDA-01
0006E64E,Luminaria,5C-CF-7F-06-E6-4E,L359,-29.67999418,-51.15201395,Grupo 1,0,HDA-01
0006E59B,Luminaria,5C-CF-7F-06-E5-9B,L384,-29.67377702,-51.10884472,Grupo 1,0,HDA-01
0006E624,Luminaria,5C-CF-7F-06-E6-24,L348,-29.68434795,-51.08164145,Grupo 1,0,HDA-01
0006E4E4,Luminaria,5C-CF-7F-06-E4-E4,L390,-29.67932394,-51.14611131,Grupo 1,0,HDA-01
000AF4D0,Luminaria,5C-CF-7F-0A-F4-D0,L388,-29.69249201,-51.15514296,Grupo 1,0,HDA-01
0006E34A,Luminaria,5C-CF-7F-06-E3-4A,L402,-29.67060833,-51.10515561,Grupo 1,0,HDA-01
000AF4A0,Luminaria,5C-CF-7F-0A-F4-A0,L407,-29.67820328,-51.11849129,Grupo 1,0,HDA-01
0006E416,Luminaria,5C-CF-7F-06-E4-16,L412,-29.68500139,-51.08287046,Grupo 1,0,HDA-01
0006E531,Luminaria,5C-CF-7F-06-E5-31,L422,-29.67458216,-51.1335209,Grupo 1,0,HDA-01
000AF4E3,Luminaria,5C-CF-7F-0A-F4-E3,L427,-29.67236124,-51.12164514,Grupo 1,0,HDA-01
0006E424,Luminaria,5C-CF-7F-06-E4-24,L417,-29.67347607,-51.0920751,Grupo 1,0,HDA-01
000AF5CE,Luminaria,5C-CF-7F-0A-F5-CE,L453,-29.67134792,-51.07997394,Grupo 1,0,HDA-01
000AF5E5,Luminaria,5C-CF-7F-0A-F5-E5,L432,-29.69407637,-51.12156523,Grupo 1,0,HDA-01
000AF48E,Luminaria,5C-CF-7F-0A-F4-8E,L492,-29.68829053,-51.11040333,Grupo 1,0,HDA-01
000AF4FC,Luminaria,5C-CF-7F-0A-F4-FC,L497,-29.68722898,-51.08480368,Grupo 1,0,HDA-01
0006E74B,Luminaria,5C-CF-7F-06-E7-4B,L437,-29.69405032,-51.09640614,Grupo 1,0,HDA-01
0006E778,Luminaria,5C-CF-7F-06-E7-78,L441,-29.69515681,-51.14034364,Grupo 1,0,HDA-01
000AF5AA,Luminaria,5C-CF-7F-0A-F5-AA,L517,-29.68413634,-51.11384047,Grupo 1,0,HDA-01
000AF440,Luminaria,5C-CF-7F-0A-F4-40,L501,-29.68550074,-51.09244787,Grupo 1,0,HDA-01
000AF4FA,Luminaria,5C-CF-7F-0A-F4-FA,L401,-29.6731355,-51.09143637,Grupo 1,0,HDA-01
0006E42E,Luminaria,5C-CF-7F-06-E4-2E,L436,-29.66939749,-51.14872173,Grupo 1,0,HDA-01
000AF5FA,Luminaria,5C-CF-7F-0A-F5-FA,L461,-29.69593503,-51.14216808,Grupo 1,0,HDA-01
000AF64F,Luminaria,5C-CF-7F-0A-F6-4F,L512,-29.66638943,-51.0974092,Grupo 1,0,HDA-01
000AF441,Luminaria,5C-CF-7F-0A-F4-41,L482,-29.67525091,-51.14566689,Grupo 1,0,HDA-01
0006E712,Luminaria,5C-CF-7F-06-E7-12,L528,-29.67363329,-51.09995702,Grupo 1,0,HDA-01
0006E3C1,Luminaria,5C-CF-7F-06-E3-C1,L486,-29.69036102,-51.08302409,Grupo 1,0,HDA-01
000AF4D5,Luminaria,5C-CF-7F-0A-F4-D5,L421,-29.69432909,-51.11349979,Grupo 1,0,HDA-01
000AF484,Luminaria,5C-CF-7F-0A-F4-84,L416,-29.66983922,-51.14483066,Grupo 1,0,HDA-01
0006E5E1,Luminaria,5C-CF-7F-06-E5-E1,L477,-29.69506463,-51.09480943,Grupo 1,0,HDA-01
000AF6B1,Luminaria,5C-CF-7F-0A-F6-B1,L472,-29.67786437,-51.14971978,Grupo 1,0,HDA-01
000AF4F4,Luminaria,5C-CF-7F-0A-F4-F4,L451,-29.68924885,-51.08383092,Grupo 1,0,HDA-01
000AF4D1,Luminaria,5C-CF-7F-0A-F4-D1,L522,-29.69154911,-51.08666451,Grupo 1,0,HDA-01
000AF549,Luminaria,5C-CF-7F-0A-F5-49,L467,-29.6876724,-51.15412905,Grupo 1,0,HDA-01
0006E5F5,Luminaria,5C-CF-7F-06-E5-F5,L466,-29.67583414,-51.13702433,Grupo 1,0,HDA-01
000AF5C9,Luminaria,5C-CF-7F-0A-F5-C9,L507,-29.68060402,-51.09952193,Grupo 1,0,HDA-01
0006E3BA,Luminaria,5C-CF-7F-06-E3-BA,L445,-29.68326459,-51.07927927,Grupo 1,0,HDA-01
0006E6DD,Luminaria,5C-CF-7F-06-E6-DD,L426,-29.66573049,-51.11717604,Grupo 1,0,HDA-01
